setor,ano,abhar_vw,abhar_ew,n_ativos,bhar_medio,bhar_mediana,bhar_std,p_ttest,p_wilcoxon,tickers_validos,r2_medio,tipo
Bens Industriais,2002,-0.042746168653530786,0.0020531704412456047,14,0.0020531704412456047,-0.009026990829769543,0.12380605524770096,0.9514662849174015,0.6697998046875,BDLL4.SA|INEP3.SA|MYPK3.SA|LEVE3.SA|POMO4.SA|RSUL4.SA|PLAS3.SA|RAPT4.SA|RCSL3.SA|ROMI3.SA|TASA4.SA|WEGE3.SA|WHRL3.SA|WLMM4.SA,0.0289532240388719,Eleitoral
Comunicações,2002,-0.06564959143722422,-0.05603922757382823,2,-0.05603922757382823,-0.05603922757382823,0.015665738360720098,0.12423983402773939,,PDTC3.SA|VIVT3.SA,0.11888113030576364,Eleitoral
Construção e Transporte,2002,-0.007170026205684181,0.04694534416700455,9,0.04694534416700455,0.043780125542986714,0.17853195969065672,0.4529374293615197,0.30078125,AZEV4.SA|CALI3.SA|CYRE3.SA|ETER3.SA|EUCA4.SA|JFEN3.SA|PTBL3.SA|RSID3.SA|SOND5.SA,0.0446328924143457,Eleitoral
Consumo Cíclico,2002,0.0346419016412075,-0.071107464900846,17,-0.071107464900846,0.000892339971421019,0.24752633813559843,0.25353043906568123,0.8536376953125,BMKS3.SA|CTSA4.SA|CTSA4.SA|PNVL3.SA|DOHL4.SA|CGRA4.SA|BHIA3.SA|GUAR3.SA|HOOT4.SA|CTKA4.SA|LREN3.SA|ESTR4.SA|MNDL3.SA|RADL3.SA|AHEB3.SA|TEKA4.SA|VULC3.SA,0.011445325804118847,Eleitoral
Consumo Não Cíclico,2002,0.000892339971421019,0.000892339971421019,1,0.000892339971421019,0.000892339971421019,,,,MNPR3.SA,0.006070775956519059,Eleitoral
Financeiro,2002,-0.05026981595428374,-0.03310809728256645,6,-0.03310809728256645,-0.030952313294587808,0.0852902783647167,0.38534709128893024,0.4375,RPAD5.SA|BAZA3.SA|BBAS3.SA|BPAR3.SA|BNBR3.SA|ITSA4.SA,0.1646729019749543,Eleitoral
Materiais Básicos,2002,-0.05496262672776851,0.052597917595374175,22,0.052597917595374175,-0.009946868141752663,0.45774840799173655,0.5955855413378737,0.7990336418151855,BRAP4.SA|BRKM5.SA|FESA4.SA|CSNA3.SA|GGBR4.SA|HAGA4.SA|HETA4.SA|RANI3.SA|KEPL3.SA|MGEL4.SA|GOAU3.SA|GOAU3.SA|NORD3.SA|PMAM3.SA|SNSY5.SA|SHUL4.SA|CRPG5.SA|TUPY3.SA|UNIP6.SA|USIM5.SA|VALE3.SA|MWET4.SA,0.11846425101582225,Eleitoral
"Petróleo, Gás e Biocombustíveis",2002,-0.020600163753543805,-0.008387183546395227,2,-0.008387183546395227,-0.008387183546395227,0.017272388867598066,0.6169099338089422,,PETR4.SA|RPMG3.SA,0.25048769964036677,Eleitoral
Saúde,2002,0.000892339971421019,0.000892339971421019,1,0.000892339971421019,0.000892339971421019,,,,BIOM3.SA,0.006070775956519059,Eleitoral
Utilidade Pública,2002,-0.05852727341704957,0.002783075859453318,14,0.002783075859453318,0.000892339971421019,0.1660920185196031,0.9509622618822153,1.0,CBEE3.SA|CEEB3.SA|COCE5.SA|CMIG4.SA|SBSP3.SA|BIOM3.SA|CGAS5.SA|CEBR3.SA|CPFE3.SA|EKTR4.SA|EMAE4.SA|ENMT3.SA|ISAE4.SA|GEPA3.SA,0.15985337482671166,Eleitoral
Bens Industriais,2010,0.018249509410905532,-0.021179001652194718,18,-0.021179001652194718,-0.012319510003857559,0.08720124471316267,0.31724586429209534,0.28372955322265625,BDLL4.SA|FRAS3.SA|INEP3.SA|MYPK3.SA|LEVE3.SA|POMO4.SA|RSUL4.SA|MMAQ4.SA|PLAS3.SA|RAPT4.SA|RCSL3.SA|ROMI3.SA|TASA4.SA|WEGE3.SA|WHRL3.SA|WLMM4.SA|LUPA3.SA|FRIO3.SA,0.1264377737349564,Eleitoral
Comunicações,2010,-0.1351924868373277,0.07274194453607544,7,0.07274194453607544,0.1175220996306855,0.12030626733639567,0.16077644325948415,0.21875,DTCY3.SA|OIBR3.SA|PDTC3.SA|TELB4.SA|VIVT3.SA|TOTS3.SA|VLID3.SA,0.1185435646192337,Eleitoral
