ticker_yf,status,motivo
AERI3.SA,ok,
ALGT3.SA,falha,sem_dados
ALLD3.SA,ok,
ALRS3.SA,falha,sem_dados
BDLL4.SA,ok,
BION3.SA,falha,sem_dados
BMOB3.SA,ok,
BRQS3.SA,falha,sem_dados
CBEE3.SA,ok,
CLAR3.SA,falha,sem_dados
CLSA3.SA,falha,sem_dados
CPTP3.SA,falha,sem_dados
CTAX3.SA,falha,sem_dados
DESK3.SA,ok,
DOTZ3.SA,ok,
DTCY3.SA,ok,
ELEA3.SA,falha,sem_dados
ELTR3.SA,falha,sem_dados
EMBJ3.SA,falha,sem_dados
FORP3.SA,falha,sem_dados
FRAS3.SA,ok,
FRIO3.SA,ok,
IGBR3.SA,falha,sem_dados
INEP3.SA,ok,
KRSA3.SA,falha,sem_dados
LEVE3.SA,ok,
LUPA3.SA,ok,
MLAS3.SA,ok,
MMAQ4.SA,ok,
MYPK3.SA,ok,
NWTL3.SA,falha,sem_dados
OIBR3.SA,ok,
PDTC3.SA,ok,
PLAS3.SA,ok,
POMO4.SA,ok,
PRCM3.SA,falha,sem_dados
PTCA3.SA,falha,sem_dados
RAPT4.SA,ok,
RBNS11.SA,falha,sem_dados
RCSL3.SA,ok,
ROMI3.SA,ok,
RSUL4.SA,ok,
SULB3.SA,falha,sem_dados
TASA4.SA,ok,
TELB4.SA,ok,
UNDA3.SA,falha,sem_dados
VIVT3.SA,ok,
WEGE3.SA,ok,
WHRL3.SA,ok,
WLMM4.SA,ok,
AFDI3.SA,falha,sem_dados
AFLU3.SA,falha,sem_dados
ALPK3.SA,ok,
ARML3.SA,ok,
ARTR3.SA,falha,sem_dados
AVLL3.SA,ok,
AZEV11.SA,falha,sem_dados
BAGE3.SA,falha,sem_dados
CALI3.SA,ok,
CASH3.SA,ok,
CORR4.SA,ok,
CRTE5.SA,falha,sem_dados
CYRE3.SA,ok,
ETER3.SA,ok,
EUCA4.SA,ok,
EZTC3.SA,ok,
FIQE3.SA,ok,
GFSA3.SA,ok,
IVPR3.SA,falha,sem_dados
JFEN3.SA,ok,
LWSA3.SA,ok,
MEND5.SA,falha,sem_dados
MOTI3.SA,falha,sem_dados
MRSA3.SA,falha,sem_dados
NGRD3.SA,ok,
POSI3.SA,ok,
PPFX3.SA,falha,sem_dados
PTBL3.SA,ok,
PTFE3.SA,falha,sem_dados
QUSW3.SA,falha,sem_dados
RMNO3.SA,falha,sem_dados
RMOE3.SA,falha,sem_dados
RMPL3.SA,falha,sem_dados
RMSL3.SA,falha,sem_dados
RSID3.SA,ok,
RUMO3.SA,falha,sem_dados
SNRS3.SA,falha,sem_dados
SOND5.SA,ok,
SQIA3.SA,falha,sem_dados
STBP3.SA,falha,sem_dados
SULP4.SA,falha,sem_dados
TCNO3.SA,falha,sem_dados
TGMC3.SA,falha,sem_dados
TIMS3.SA,ok,
TOTS3.SA,ok,
TRAD3.SA,ok,
VERO3.SA,falha,sem_dados
VLID3.SA,ok,
VSPT3.SA,ok,
VTAL3.SA,falha,sem_dados
ALIS3.SA,falha,sem_dados
ANHB3.SA,falha,sem_dados
APLS3.SA,falha,sem_dados
ARAG3.SA,falha,sem_dados
ARBT3.SA,falha,sem_dados
ASCP3.SA,falha,sem_dados
AZUL4.SA,ok,
BBML3.SA,falha,sem_dados
CARO3.SA,falha,sem_dados
CART3.SA,falha,sem_dados
CCBR3.SA,falha,sem_dados
CMGS3.SA,falha,sem_dados
CURY3.SA,ok,
DIRR3.SA,ok,
DXCO3.SA,ok,
E050.SA,falha,sem_dados
E101.SA,falha,sem_dados
ECAG3.SA,falha,sem_dados
ECCE3.SA,falha,sem_dados
ECOR3.SA,ok,
ECVI3.SA,falha,sem_dados
ECVS3.SA,falha,sem_dados
EIXO3.SA,falha,sem_dados
EMCC3.SA,falha,sem_dados
ENVI3.SA,falha,sem_dados
EPON3.SA,falha,sem_dados
EVEN3.SA,ok,
EZIN3.SA,falha,sem_dados
FICA3.SA,falha,sem_dados
FRNS3.SA,falha,sem_dados
FTLN3.SA,falha,sem_dados
FULW3.SA,falha,sem_dados
GOLL4.SA,falha,sem_dados
GRU3.SA,falha,sem_dados
GUAR3.SA,ok,
HBOR3.SA,ok,
HBRE3.SA,ok,
HBSA3.SA,ok,
INCE3.SA,falha,sem_dados
JHSF3.SA,ok,
LREN3.SA,ok,
MITE3.SA,falha,sem_dados
RBND3.SA,falha,sem_dados
RDVT3.SA,falha,sem_dados
RIOM3.SA,falha,sem_dados
RISU3.SA,falha,sem_dados
ROST3.SA,falha,sem_dados
ROVI3.SA,falha,sem_dados
RSMT3.SA,falha,sem_dados
TEND3.SA,ok,
BBRK3.SA,falha,sem_dados
KALL3.SA,falha,sem_dados
KINF3.SA,falha,sem_dados
LAMS3.SA,falha,sem_dados
LAVV3.SA,ok,
LCFL3.SA,falha,sem_dados
LMTR3.SA,falha,sem_dados
LOGG3.SA,ok,
LOGN3.SA,ok,
LPSB3.SA,ok,
MAES3.SA,falha,sem_dados
MDNE3.SA,ok,
MELK3.SA,ok,
MILS3.SA,ok,
MNRD3.SA,falha,sem_dados
MOVI3.SA,ok,
MRVE3.SA,ok,
MTRE3.SA,ok,
MULT3.SA,ok,
PACA3.SA,falha,sem_dados
PATR3.SA,falha,sem_dados
PDGR3.SA,ok,
PLPL3.SA,ok,
PRNR3.SA,ok,
PSVM3.SA,falha,sem_dados
RCOL3.SA,falha,sem_dados
RDBR3.SA,falha,sem_dados
RDNI3.SA,ok,
RENT3.SA,ok,
RMCE3.SA,falha,sem_dados
SEQL3.SA,ok,
SIMH3.SA,ok,
SUGO3.SA,falha,sem_dados
SYNE3.SA,ok,
TBRS3.SA,falha,sem_dados
TCPP3.SA,falha,sem_dados
TCSA3.SA,ok,
TEGR3.SA,falha,sem_dados
TGMA3.SA,ok,
TIGR3.SA,falha,sem_dados
TLSA3.SA,falha,sem_dados
TPIS3.SA,ok,
TRIS3.SA,ok,
TSOL3.SA,falha,sem_dados
UCAS3.SA,ok,
URBA3.SA,falha,sem_dados
VAMO3.SA,ok,
VB16.SA,falha,sem_dados
VPLT3.SA,falha,sem_dados
VRON3.SA,falha,sem_dados
AGXY3.SA,ok,
AHEB3.SA,ok,
AJSH3.SA,falha,sem_dados
ALOS3.SA,ok,
ALPA4.SA,ok,
AMER3.SA,ok,
AMMO3.SA,falha,sem_dados
AMZN3.SA,falha,sem_dados
ATAS3.SA,falha,sem_dados
AZZA3.SA,ok,
BFTI3.SA,falha,sem_dados
BHIA3.SA,ok,
BMKS3.SA,ok,
CAMB3.SA,ok,
CANT3.SA,falha,sem_dados
CATA4.SA,falha,sem_dados
CEAB3.SA,ok,
CEDO4.SA,ok,
CGRA4.SA,ok,
CNSY3.SA,falha,sem_dados
CRFB3.SA,falha,sem_dados
CTKA4.SA,ok,
CTSA4.SA,ok,
CVCB3.SA,ok,
DOHL4.SA,ok,
EGIE3.SA,ok,
ESTR4.SA,ok,
HOOT4.SA,ok,
IGTI11.SA,ok,
MIPA4.SA,falha,sem_dados
MNDL3.SA,ok,
PCAR3.SA,ok,
PNVL3.SA,ok,
PORT3.SA,falha,sem_dados
PTNT4.SA,ok,
RADL3.SA,ok,
SAAU3.SA,falha,sem_dados
SJOE4.SA,falha,sem_dados
SLED4.SA,ok,
SNBP3.SA,falha,sem_dados
TBLU4.SA,falha,sem_dados
TEKA4.SA,ok,
TXRX4.SA,ok,
VIVR3.SA,ok,
VIXL3.SA,falha,sem_dados
VULC3.SA,ok,
VVEO3.SA,ok,
WTCA3.SA,falha,sem_dados
WTCR3.SA,falha,sem_dados
YOUC3.SA,falha,sem_dados
AMAR3.SA,ok,
APTI4.SA,ok,
ASAI3.SA,ok,
BAUH4.SA,ok,
BLUT3.SA,falha,sem_dados
BRFS3.SA,falha,sem_dados
CHPC3.SA,falha,sem_dados
CVLB3.SA,falha,sem_dados
DMVF3.SA,ok,
ENJU3.SA,ok,
FICT3.SA,ok,
GMAT3.SA,ok,
GRND3.SA,ok,
GSHP3.SA,ok,
HORT3.SA,falha,sem_dados
IFCM3.SA,ok,
IGTA3.SA,falha,sem_dados
INBR3.SA,falha,sem_dados
INTB3.SA,ok,
JHML3.SA,falha,sem_dados
JOPA4.SA,ok,
KALU3.SA,falha,sem_dados
LJQQ3.SA,ok,
LUPO3.SA,falha,sem_dados
LVTC3.SA,falha,sem_dados
MGLU3.SA,ok,
MIGB3.SA,falha,sem_dados
MNPR3.SA,ok,
NISE3.SA,falha,sem_dados
ODER4.SA,ok,
OFSA3.SA,ok,
PETZ3.SA,ok,
PFRM3.SA,ok,
PGMN3.SA,ok,
RAIZ4.SA,ok,
SBFC3.SA,falha,sem_dados
SBFG3.SA,ok,
SELF3.SA,falha,sem_dados
SHOW3.SA,ok,
SMFT3.SA,ok,
SOMA3.SA,falha,sem_dados
TECN3.SA,ok,
TFCO4.SA,ok,
TOKY3.SA,falha,sem_dados
VBBR3.SA,ok,
VIVA3.SA,ok,
VSTE3.SA,ok,
WEST3.SA,ok,
WINE3.SA,falha,sem_dados
XPBR31.SA,ok,
ABEV3.SA,ok,
AGRO3.SA,ok,
AUZZ3.SA,falha,sem_dados
BAZA3.SA,ok,
BBAS3.SA,ok,
BBDC4.SA,ok,
BEEF3.SA,ok,
BEES4.SA,ok,
BETP3.SA,falha,sem_dados
BFRE3.SA,falha,sem_dados
BGIP4.SA,ok,
BMEB4.SA,ok,
BMIN4.SA,ok,
BNBR3.SA,ok,
BPAN4.SA,ok,
BPAR3.SA,ok,
BRSR6.SA,ok,
BSEC3.SA,falha,sem_dados
BSLI4.SA,falha,sem_dados
CADP3.SA,falha,sem_dados
CAML3.SA,ok,
CAMU3.SA,falha,sem_dados
CRAD3.SA,falha,sem_dados
CSAN3.SA,ok,
CTCA3.SA,falha,sem_dados
FRTA3.SA,falha,sem_dados
GRAN3.SA,falha,sem_dados
HBTS5.SA,ok,
ITAO3.SA,falha,sem_dados
JALL3.SA,ok,
JBSS3.SA,falha,sem_dados
JMAC3.SA,falha,sem_dados
MADE3.SA,falha,sem_dados
MDIA3.SA,ok,
MEAL3.SA,ok,
MRFG3.SA,falha,sem_dados
NUTR3.SA,ok,
PEAB4.SA,ok,
QPAR3.SA,falha,sem_dados
RPAD5.SA,ok,
RZEN3.SA,falha,sem_dados
SLCE3.SA,ok,
SMTO3.SA,ok,
SOJA3.SA,ok,
SOLB3.SA,falha,sem_dados
TESA3.SA,falha,sem_dados
TRVS3.SA,falha,sem_dados
TTEN3.SA,ok,
VITT3.SA,ok,
ZAMP3.SA,falha,sem_dados
ABCB4.SA,ok,
ARND3.SA,falha,sem_dados
B3SA3.SA,ok,
BALM4.SA,ok,
BBSE3.SA,ok,
BDLE3.SA,falha,sem_dados
BMGB4.SA,ok,
BPAC3.SA,ok,
BRAP4.SA,ok,
BRBI11.SA,ok,
BRGE11.SA,ok,
BRKM5.SA,ok,
CBML3.SA,falha,sem_dados
CGRD3.SA,falha,sem_dados
CIEL3.SA,falha,sem_dados
CRIV4.SA,ok,
CSCF3.SA,falha,sem_dados
CSCI3.SA,falha,sem_dados
CSNA3.SA,ok,
CXSE3.SA,ok,
DAYC4.SA,falha,sem_dados
DIBE3.SA,falha,sem_dados
EALT3.SA,ok,
FESA4.SA,ok,
FIGE4.SA,ok,
GGBR4.SA,ok,
HAGA4.SA,ok,
HETA4.SA,ok,
IFIN3.SA,falha,sem_dados
IFRS3.SA,falha,sem_dados
IRBR3.SA,ok,
ITSA4.SA,ok,
ITUB4.SA,ok,
LEAD3.SA,falha,sem_dados
MERC4.SA,ok,
MSPA4.SA,ok,
NEUM3.SA,falha,sem_dados
OTRS3.SA,falha,sem_dados
PDGS3.SA,falha,sem_dados
PINE11.SA,falha,sem_dados
PRBC4.SA,falha,sem_dados
PSSA3.SA,ok,
QUAL3.SA,ok,
RCIB3.SA,falha,sem_dados
SANB11.SA,ok,
SCME3.SA,falha,sem_dados
SCPI3.SA,falha,sem_dados
TRVF3.SA,falha,sem_dados
TRVM3.SA,falha,sem_dados
WIZS3.SA,falha,sem_dados
AALR3.SA,ok,
ALTI3.SA,falha,sem_dados
AURA33.SA,ok,
AVCB3.SA,falha,sem_dados
BIOM3.SA,ok,
BOBR4.SA,ok,
BRAV3.SA,ok,
CBAV3.SA,ok,
CBOH3.SA,falha,sem_dados
CMIN3.SA,ok,
CRPG5.SA,ok,
ELDP3.SA,falha,sem_dados
EPAR3.SA,ok,
FHER3.SA,ok,
GAMA3.SA,falha,sem_dados
GOAU3.SA,ok,
KEPL3.SA,ok,
KLBN11.SA,ok,
LTEL3.SA,falha,sem_dados
LTLA3.SA,falha,sem_dados
LUBR3.SA,falha,sem_dados
METN4.SA,falha,sem_dados
MGEL4.SA,ok,
MMXM3.SA,falha,sem_dados
MTSA4.SA,ok,
MWET4.SA,ok,
