setor,ano,abhar_vw,abhar_ew,n_ativos,bhar_medio,bhar_mediana,bhar_std,p_ttest,p_wilcoxon,tickers_validos,r2_medio,tipo
Bens Industriais,2002,-0.04274603804818285,0.0021425232101525992,13,0.0021425232101525992,-0.01632146045764049,0.1288610581560065,0.9531837676817956,0.684814453125,BDLL4.SA|MYPK3.SA|LEVE3.SA|POMO4.SA|RSUL4.SA|PLAS3.SA|RAPT4.SA|RCSL3.SA|ROMI3.SA|TASA4.SA|WEGE3.SA|WHRL3.SA|WLMM4.SA,0.03071334499559217,Eleitoral
Comunicações,2002,-0.0905700631145796,-0.06755110311759494,3,-0.06755110311759494,-0.06711657740098764,0.02280934287824399,0.03596701591884632,,PDTC3.SA|VIVT3.SA|CBEE3.SA,0.08422494056296626,Eleitoral
Construção e Transporte,2002,-0.05123156483829687,0.06032935975048701,10,0.06032935975048701,0.055746958337082986,0.17356107253125166,0.30021367435471996,0.193359375,CALI3.SA|CYRE3.SA|ETER3.SA|EUCA4.SA|JFEN3.SA|PTBL3.SA|RSID3.SA|SOND5.SA|LREN3.SA|GUAR3.SA,0.04255308517272567,Eleitoral
Consumo Cíclico,2002,0.03464196352932759,-0.07110740814979254,17,-0.07110740814979254,0.000892339971421019,0.24752630553827043,0.2535307425582937,0.8536376953125,BMKS3.SA|CTSA4.SA|CTSA4.SA|PNVL3.SA|DOHL4.SA|CGRA4.SA|BHIA3.SA|GUAR3.SA|HOOT4.SA|CTKA4.SA|LREN3.SA|ESTR4.SA|MNDL3.SA|RADL3.SA|AHEB3.SA|TEKA4.SA|VULC3.SA,0.011445309294021955,Eleitoral
Consumo Não Cíclico,2002,0.000892339971421019,0.000892339971421019,1,0.000892339971421019,0.000892339971421019,,,,MNPR3.SA,0.006070775956519059,Eleitoral
Financeiro,2002,-0.050269961279589416,-0.033108087472447645,6,-0.033108087472447645,-0.030952333215422234,0.08529011251536035,0.38534636862310423,0.4375,RPAD5.SA|BAZA3.SA|BBAS3.SA|BPAR3.SA|BNBR3.SA|ITSA4.SA,0.16467308006527975,Eleitoral
Materiais Básicos,2002,-0.05496311699145056,0.05259799932861328,22,0.05259799932861328,-0.009946870736731672,0.4577483710318626,0.5955849441263245,0.7990336418151855,BRAP4.SA|BRKM5.SA|FESA4.SA|CSNA3.SA|GGBR4.SA|HAGA4.SA|HETA4.SA|RANI3.SA|KEPL3.SA|MGEL4.SA|GOAU3.SA|GOAU3.SA|NORD3.SA|PMAM3.SA|SNSY5.SA|SHUL4.SA|CRPG5.SA|TUPY3.SA|UNIP6.SA|USIM5.SA|VALE3.SA|MWET4.SA,0.11846431314138414,Eleitoral
"Petróleo, Gás e Biocombustíveis",2002,-0.020599532805799133,-0.008386868066807995,2,-0.008386868066807995,-0.008386868066807995,0.01727194271208715,0.6169134346875883,,PETR4.SA|RPMG3.SA,0.25048757395130267,Eleitoral
Saúde,2002,0.000892339971421019,0.000892339971421019,1,0.000892339971421019,0.000892339971421019,,,,BIOM3.SA,0.006070775956519059,Eleitoral
Utilidade Pública,2002,-0.05852693758587371,0.0027830367683730323,14,0.0027830367683730323,0.000892339971421019,0.16609196459243344,0.9509629337960327,1.0,CBEE3.SA|CEEB3.SA|COCE5.SA|CMIG4.SA|SBSP3.SA|BIOM3.SA|CGAS5.SA|CEBR3.SA|CPFE3.SA|EKTR4.SA|EMAE4.SA|ENMT3.SA|ISAE4.SA|GEPA3.SA,0.1598534692160162,Eleitoral
Bens Industriais,2006,0.03227328951941451,0.07486693639944217,13,0.07486693639944217,0.004385355283582637,0.2650049914452806,0.3284860610889654,0.497314453125,BDLL4.SA|MYPK3.SA|LEVE3.SA|POMO4.SA|RSUL4.SA|PLAS3.SA|RAPT4.SA|RCSL3.SA|ROMI3.SA|TASA4.SA|WEGE3.SA|WHRL3.SA|WLMM4.SA,0.026976023367317168,Eleitoral
Comunicações,2006,-0.17964920400539997,-0.07073464020697999,5,-0.07073464020697999,-0.02584868233751214,0.11676808039216285,0.24702144536291332,0.4375,DTCY3.SA|OIBR3.SA|PDTC3.SA|VIVT3.SA|CBEE3.SA,0.04231161808898358,Eleitoral
Construção e Transporte,2006,-0.11554413512426678,-0.15060452524730836,11,-0.15060452524730836,-0.025090443815487085,0.35612498960470673,0.19101236077916262,0.365234375,CALI3.SA|CYRE3.SA|ETER3.SA|EUCA4.SA|GFSA3.SA|JFEN3.SA|PTBL3.SA|RSID3.SA|SOND5.SA|LREN3.SA|GUAR3.SA,0.07725286998385023,Eleitoral
Consumo Cíclico,2006,-0.10699005190884814,0.05279807294587148,19,0.05279807294587148,-0.02588175965771433,0.22427918951600284,0.3184195621807683,0.9217147827148438,BMKS3.SA|CTSA4.SA|CTSA4.SA|PNVL3.SA|DOHL4.SA|CGRA4.SA|BHIA3.SA|GUAR3.SA|HOOT4.SA|CTKA4.SA|LREN3.SA|ESTR4.SA|MNDL3.SA|RADL3.SA|SLED4.SA|AHEB3.SA|TEKA4.SA|VULC3.SA|GRND3.SA,0.030950046606081222,Eleitoral
Consumo Não Cíclico,2006,-0.3317623712532212,-0.1379661535117277,3,-0.1379661535117277,-0.08589011960037674,0.17371457916750796,0.30274308770436786,,JOPA4.SA|MNPR3.SA|CSAN3.SA,0.10061849054936996,Eleitoral
Financeiro,2006,0.020229136981559474,-0.01780008244823164,8,-0.01780008244823164,-0.03225197962434462,0.11976476436825748,0.686814663446553,0.546875,RPAD5.SA|BAZA3.SA|BBAS3.SA|BPAR3.SA|BNBR3.SA|ITSA4.SA|PSSA3.SA|ITUB4.SA,0.19141978991051467,Eleitoral
Materiais Básicos,2006,-0.07758911267871114,0.040357403818275954,23,0.040357403818275954,0.0037540485097672383,0.19059232645084334,0.32090431205380093,0.7313888072967529,BRAP4.SA|BRKM5.SA|FESA4.SA|CSNA3.SA|GGBR4.SA|HAGA4.SA|HETA4.SA|RANI3.SA|KEPL3.SA|MGEL4.SA|GOAU3.SA|GOAU3.SA|NORD3.SA|PMAM3.SA|SNSY5.SA|SHUL4.SA|SUZB3.SA|CRPG5.SA|TUPY3.SA|UNIP6.SA|USIM5.SA|VALE3.SA|MWET4.SA,0.147311640509184,Eleitoral
"Petróleo, Gás e Biocombustíveis",2006,-0.13801491969366078,-0.033984890048246195,3,-0.033984890048246195,0.0037540485097672383,0.0912175987210305,0.584872701315351,,PETR4.SA|RPMG3.SA|UGPA3.SA,0.15746035626302876,Eleitoral
Saúde,2006,-0.005083518981547343,-0.03506280961942432,2,-0.03506280961942432,-0.03506280961942432,0.042401996656991826,0.45038059308143485,,BIOM3.SA|DASA3.SA,0.06829626301816805,Eleitoral
Utilidade Pública,2006,0.5706909728414735,-0.019711003214334853,16,-0.019711003214334853,0.022228056422754605,0.23364087256926844,0.7404475143912892,0.93988037109375,CBEE3.SA|CEEB3.SA|COCE5.SA|CMIG4.SA|SBSP3.SA|BIOM3.SA|CGAS5.SA|CEBR3.SA|CPFE3.SA|EKTR4.SA|EMAE4.SA|ENMT3.SA|EQPA3.SA|ISAE4.SA|GEPA3.SA|LIGT3.SA,0.08488672911272874,Eleitoral
