ticker_yf,status,TICKER_YF,SETOR_B3,TICKER_ORIGINAL
AERI3.SA,ok,AERI3.SA,Bens Industriais,AERI3
ALLD3.SA,ok,ALLD3.SA,Comunicações,ALLD3
BDLL4.SA,ok,BDLL4.SA,Bens Industriais,BDLL4
BMOB3.SA,ok,BMOB3.SA,Comunicações,BMOB3
CBEE3.SA,ok,CBEE3.SA,Comunicações,CBEE3
CBMA3.SA,ok,CBMA3.SA,Bens Industriais,CBMA3
DESK3.SA,ok,DESK3.SA,Comunicações,DESK3
DTCY3.SA,ok,DTCY3.SA,Comunicações,DTCY3
FRAS3.SA,ok,FRAS3.SA,Bens Industriais,FRAS3
FRIO3.SA,ok,FRIO3.SA,Bens Industriais,FRIO3
INEP3.SA,ok,INEP3.SA,Bens Industriais,INEP3
INEP4.SA,ok,INEP4.SA,Bens Industriais,INEP4
LEVE3.SA,ok,LEVE3.SA,Bens Industriais,LEVE3
LIGT3.SA,ok,LIGT3.SA,Bens Industriais,LIGT3
LUPA3.SA,ok,LUPA3.SA,Bens Industriais,LUPA3
MMAQ4.SA,ok,MMAQ4.SA,Bens Industriais,MMAQ4
MYPK3.SA,ok,MYPK3.SA,Bens Industriais,MYPK3
OIBR3.SA,ok,OIBR3.SA,Comunicações,OIBR3
PDTC3.SA,ok,PDTC3.SA,Comunicações,PDTC3
PLAS3.SA,ok,PLAS3.SA,Bens Industriais,PLAS3
POMO4.SA,ok,POMO4.SA,Bens Industriais,POMO4
RAPT4.SA,ok,RAPT4.SA,Bens Industriais,RAPT4
RCSL3.SA,ok,RCSL3.SA,Bens Industriais,RCSL3
ROMI3.SA,ok,ROMI3.SA,Bens Industriais,ROMI3
RSUL4.SA,ok,RSUL4.SA,Bens Industriais,RSUL4
TASA4.SA,ok,TASA4.SA,Bens Industriais,TASA4
TELB4.SA,ok,TELB4.SA,Comunicações,TELB4
TOTS3.SA,ok,TOTS3.SA,Bens Industriais,TOTS3
VIVT3.SA,ok,VIVT3.SA,Comunicações,VIVT3
WEGE3.SA,ok,WEGE3.SA,Bens Industriais,WEGE3
WHRL3.SA,ok,WHRL3.SA,Bens Industriais,WHRL3
WLMM4.SA,ok,WLMM4.SA,Bens Industriais,WLMM4
ALPK3.SA,ok,ALPK3.SA,Construção e Transporte,ALPK3
ARML3.SA,ok,ARML3.SA,Construção e Transporte,ARML3
AVLL3.SA,ok,AVLL3.SA,Construção e Transporte,AVLL3
CALI3.SA,ok,CALI3.SA,Construção e Transporte,CALI3
CASH3.SA,ok,CASH3.SA,Comunicações,CASH3
CORR4.SA,ok,CORR4.SA,Construção e Transporte,CORR4
CYRE3.SA,ok,CYRE3.SA,Construção e Transporte,CYRE3
DOTZ3.SA,ok,DOTZ3.SA,Comunicações,DOTZ3
ETER3.SA,ok,ETER3.SA,Construção e Transporte,ETER3
EUCA4.SA,ok,EUCA4.SA,Construção e Transporte,EUCA4
EZTC3.SA,ok,EZTC3.SA,Comunicações,EZTC3
FIQE3.SA,ok,FIQE3.SA,Comunicações,FIQE3
GFSA3.SA,ok,GFSA3.SA,Construção e Transporte,GFSA3
JFEN3.SA,ok,JFEN3.SA,Construção e Transporte,JFEN3
LWSA3.SA,ok,LWSA3.SA,Comunicações,LWSA3
MLAS3.SA,ok,MLAS3.SA,Comunicações,MLAS3
NGRD3.SA,ok,NGRD3.SA,Comunicações,NGRD3
POSI3.SA,ok,POSI3.SA,Comunicações,POSI3
PTBL3.SA,ok,PTBL3.SA,Construção e Transporte,PTBL3
RSID3.SA,ok,RSID3.SA,Construção e Transporte,RSID3
SOND5.SA,ok,SOND5.SA,Construção e Transporte,SOND5
TIMS3.SA,ok,TIMS3.SA,Comunicações,TIMS3
TRAD3.SA,ok,TRAD3.SA,Comunicações,TRAD3
VLID3.SA,ok,VLID3.SA,Comunicações,VLID3
VSPT3.SA,ok,VSPT3.SA,Construção e Transporte,VSPT3
AZUL4.SA,ok,AZUL4.SA,Construção e Transporte,AZUL4
CURY3.SA,ok,CURY3.SA,Construção e Transporte,CURY3
DIRR3.SA,ok,DIRR3.SA,Construção e Transporte,DIRR3
DXCO3.SA,ok,DXCO3.SA,Construção e Transporte,DXCO3
ECOR3.SA,ok,ECOR3.SA,Construção e Transporte,ECOR3
EVEN3.SA,ok,EVEN3.SA,Construção e Transporte,EVEN3
GUAR3.SA,ok,GUAR3.SA,Construção e Transporte,GUAR3
HBOR3.SA,ok,HBOR3.SA,Construção e Transporte,HBOR3
HBRE3.SA,ok,HBRE3.SA,Construção e Transporte,HBRE3
